Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.rhodo,32,1,Pair,26.347,26.347,26.347,0.0,69.31
in.rhodo,32,1,Bond,1.5817,1.5817,1.5817,0.0,4.16
in.rhodo,32,1,Kspace,3.7404,3.7404,3.7404,0.0,9.84
in.rhodo,32,1,Neigh,3.2062,3.2062,3.2062,0.0,8.43
in.rhodo,32,1,Comm,0.73529,0.73529,0.73529,0.0,1.93
in.rhodo,32,1,Output,0.0011113,0.0011113,0.0011113,0.0,0.00
in.rhodo,32,1,Modify,2.2959,2.2959,2.2959,0.0,6.04
in.rhodo,32,1,Other,,0.1072,,,0.28
in.rhodo,32,2,Pair,13.348,13.365,13.382,0.5,68.23
in.rhodo,32,2,Bond,0.76625,0.79073,0.81522,2.8,4.04
in.rhodo,32,2,Kspace,1.9983,2.0058,2.0132,0.5,10.24
in.rhodo,32,2,Neigh,1.6377,1.638,1.6382,0.0,8.36
in.rhodo,32,2,Comm,0.44407,0.44502,0.44596,0.1,2.27
in.rhodo,32,2,Output,0.00071565,0.00084159,0.00096754,0.0,0.00
in.rhodo,32,2,Modify,1.2851,1.2857,1.2863,0.1,6.56
in.rhodo,32,2,Other,,0.05814,,,0.30
in.rhodo,32,4,Pair,6.486,6.839,7.0352,8.0,65.28
in.rhodo,32,4,Bond,0.3876,0.39815,0.40871,1.3,3.80
in.rhodo,32,4,Kspace,1.1632,1.3638,1.7056,17.6,13.02
in.rhodo,32,4,Neigh,0.83567,0.8358,0.83615,0.0,7.98
in.rhodo,32,4,Comm,0.30462,0.313,0.32492,1.5,2.99
in.rhodo,32,4,Output,0.00059853,0.00065404,0.00081825,0.0,0.01
in.rhodo,32,4,Modify,0.66066,0.68629,0.7065,2.4,6.55
in.rhodo,32,4,Other,,0.03957,,,0.38
in.rhodo,32,8,Pair,3.5069,3.6076,3.7881,4.7,60.48
in.rhodo,32,8,Bond,0.20176,0.21429,0.23184,2.1,3.59
in.rhodo,32,8,Kspace,0.77227,0.9472,1.0492,9.2,15.88
in.rhodo,32,8,Neigh,0.46145,0.46182,0.46246,0.0,7.74
in.rhodo,32,8,Comm,0.25352,0.25704,0.26923,1.0,4.31
in.rhodo,32,8,Output,0.00056478,0.00060077,0.00083587,0.0,0.01
in.rhodo,32,8,Modify,0.4227,0.44946,0.45643,1.5,7.53
in.rhodo,32,8,Other,,0.02719,,,0.46
in.rhodo,32,16,Pair,1.6202,1.978,2.1276,9.9,55.89
in.rhodo,32,16,Bond,0.090682,0.11909,0.14105,3.9,3.36
in.rhodo,32,16,Kspace,0.59229,0.73255,1.1212,17.5,20.70
in.rhodo,32,16,Neigh,0.26715,0.26793,0.26969,0.1,7.57
in.rhodo,32,16,Comm,0.15708,0.16169,0.17699,1.4,4.57
in.rhodo,32,16,Output,0.00053369,0.00055375,0.00077187,0.0,0.02
in.rhodo,32,16,Modify,0.21978,0.26025,0.27012,2.9,7.35
in.rhodo,32,16,Other,,0.01907,,,0.54
in.rhodo,32,32,Pair,0.82338,1.0301,1.1317,7.8,48.55
in.rhodo,32,32,Bond,0.015457,0.063159,0.10208,12.7,2.98
in.rhodo,32,32,Kspace,0.40032,0.48607,0.70656,11.3,22.91
in.rhodo,32,32,Neigh,0.15814,0.15929,0.16031,0.1,7.51
in.rhodo,32,32,Comm,0.12959,0.13368,0.13793,0.7,6.30
in.rhodo,32,32,Output,0.00056893,0.00058204,0.00080482,0.0,0.03
in.rhodo,32,32,Modify,0.22278,0.23221,0.2429,1.2,10.94
in.rhodo,32,32,Other,,0.01684,,,0.79
in.rhodo,32,64,Pair,0.43722,0.52037,0.60703,6.2,39.51
in.rhodo,32,64,Bond,0.0048537,0.033046,0.055469,9.1,2.51
in.rhodo,32,64,Kspace,0.27446,0.37619,0.4598,7.8,28.56
in.rhodo,32,64,Neigh,0.09666,0.097888,0.099487,0.2,7.43
in.rhodo,32,64,Comm,0.1131,0.118,0.1219,0.6,8.96
in.rhodo,32,64,Output,0.00056233,0.00057205,0.00080405,0.0,0.04
in.rhodo,32,64,Modify,0.15072,0.159,0.16643,1.0,12.07
in.rhodo,32,64,Other,,0.01207,,,0.92
in.rhodo,256,1,Pair,35.015,35.015,35.015,0.0,67.96
in.rhodo,256,1,Bond,2.0982,2.0982,2.0982,0.0,4.07
in.rhodo,256,1,Kspace,5.0475,5.0475,5.0475,0.0,9.80
in.rhodo,256,1,Neigh,4.183,4.183,4.183,0.0,8.12
in.rhodo,256,1,Comm,1.3617,1.3617,1.3617,0.0,2.64
in.rhodo,256,1,Output,0.00090385,0.00090385,0.00090385,0.0,0.00
in.rhodo,256,1,Modify,3.6991,3.6991,3.6991,0.0,7.18
in.rhodo,256,1,Other,,0.1197,,,0.23
in.rhodo,256,2,Pair,17.672,17.696,17.719,0.6,67.86
in.rhodo,256,2,Bond,1.05,1.0521,1.0542,0.2,4.03
in.rhodo,256,2,Kspace,2.5704,2.596,2.6216,1.6,9.95
in.rhodo,256,2,Neigh,2.1034,2.1035,2.1036,0.0,8.07
in.rhodo,256,2,Comm,0.63596,0.63609,0.63622,0.0,2.44
in.rhodo,256,2,Output,0.00048134,0.00051115,0.00054096,0.0,0.00
in.rhodo,256,2,Modify,1.9269,1.9273,1.9277,0.0,7.39
in.rhodo,256,2,Other,,0.06708,,,0.26
