/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,7.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.844928
1;SP GFLOPS;0.000000
1;DP GFLOPS;1.483057
1;x87 GFLOPS;0.0
1;IPC;1.315094
1;Average CPU Frequency;2744756024.255530
1;Total Thread Count;
1;CPU Time;4.265744
0;Effective Physical Core Utilization;1.4% (0.888 out of 64)
1;Effective Logical Core Utilization;0.7% (0.880 out of 128)
0;Memory Bound;26.7
1;Cache Bound;12.4
1;DRAM Bound;16.5
1;NUMA: % of Remote Accesses;0.3
0;Vectorization;46.4
1;Instruction Mix;
2;SP FLOPs;0.0
3;Packed;0.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.0
3;Scalar;100.0
2;DP FLOPs;10.2
3;Packed;46.4
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;46.4
3;Scalar;53.6
2;x87 FLOPs;0.0
2;Non-FP;89.8
1;FP Arith/Mem Rd Instr. Ratio;0.330153
1;FP Arith/Mem Wr Instr. Ratio;0.881653
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;8
1;Computer Name;instance-20220601-1914
1;Result Size;3286237
1;Collection start time;23:19:21 01/06/2022 UTC
1;Collection stop time;23:19:26 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979096
2;Logical CPU Count;128
