;EXEC_TIME;PERFORMANCE;POWER;NAME;PROCS;SIZE;POWEREFF;PAREFF
20;1.4131144046783448;158.7691194058642;193.80986891844995;chain;1;32;0.8192003858826715;100.0
21;1.3532539844512939;309.3594722222222;192.26576016511868;chain;2;32;1.6090200977883058;97.4243207305954
23;1.03098783493042;618.4268584104938;195.84152900432898;chain;4;32;3.1577922290262745;97.37832846915254
25;1.0310214042663575;1191.7478344907408;210.20749999999998;chain;8;32;5.6693877929699985;93.82711188976992
19;1.2571347236633301;2194.677428433642;225.4470333333333;chain;16;32;9.734780697640476;86.39421808875782
22;1.948324728012085;2980.9706128472226;266.6;chain;32;32;11.181435156966325;58.6734574078862
24;2.896204423904419;3921.491565393518;310.31033333333335;chain;64;32;12.63732188119265;38.59270992908875
3;6.600795745849609;17.67097260802469;192.59984615384616;chain;1;256;0.09174967146084508;100.0
5;3.819468450546265;37.02350501543209;199.10975;chain;2;256;0.18594521370968572;104.7579718351753
11;2.308149480819702;72.90158545524692;211.67600000000002;chain;4;256;0.34440175293961955;103.13748296760568
17;1.6998823642730714;146.061465470679;225.948;chain;8;256;0.646438408265083;103.32019402001534
1;1.5878077030181885;286.9165005787037;247.56116666666668;chain;16;256;1.1589721620799587;101.47874530701057
8;2.0282547950744627;550.4306988811728;280.6395;chain;32;256;1.9613443541667257;97.34019582049152
14;3.025722026824951;881.8527768132716;320.2672380952381;chain;64;256;2.753490435231575;77.97504949699324
4;23.479453086853027;4.582699845679012;190.6204578819873;chain;1;864;0.024040965469279016;100.0
6;12.085986614227295;9.42851639660494;200.00616666666664;chain;2;864;0.047141128464897035;102.87076084085025
12;6.325288105010986;19.10413175154321;215.32723076923077;chain;4;864;0.08872139247458849;104.21875965516448
18;3.6655338287353514;38.461970679012346;236.04775;chain;8;864;0.16294148399640473;104.9107839652585
2;2.6855396270751952;73.33278260030865;266.5673333333333;chain;16;864;0.2751004096537535;100.0130723560445
9;2.522741413116455;142.1189157021605;300.94253333333336;chain;32;864;0.47224602693413614;96.9126555360177
15;3.288767623901367;260.3999502314814;333.2951428571429;chain;64;864;0.7812893641330205;88.7849817657878
10;15.318762493133544;7.215261766975309;217.44096774193548;chain;4;2048;0.03318262350422652;100.0
16;8.08095874786377;14.76128047839506;244.56857352941174;chain;8;2048;0.060356407470397555;102.29206475888606
0;5.0663018226623535;27.42072646604938;281.5459804195804;chain;16;2048;0.09739342193834559;95.00946518515694
7;3.774301767349243;50.75531925154321;337.48125;chain;32;2048;0.15039448636492608;87.93048833628842
13;4.0135139465332035;86.23058429783951;365.6287222222222;chain;64;2048;0.23584193214839996;74.69460835478809
48;6.792967844009399;341.1255092592593;164.62183516483515;chute;1;32;2.0721765670859624;100.0
49;4.883916711807251;550.1720601851852;160.1757777777778;chute;2;32;3.434801864664421;80.6407092480217
51;3.0497016429901125;987.715949074074;144.59166666666667;chute;4;32;6.831071055782887;72.3865499841144
